Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
1566 Icarus,1.07806558,0.826853942,22.8254952,31.3829659,88.0106813,0.1867,1.97,1.12,16.9,0.034507,100,APO*,1566 Icarus
1620 Geographos,1.24530431,0.335342019,13.3374816,276.8930236,337.2079581,0.8277,1.66,1.39,15.6,0.030669,448,APO*,1620 Geographos
1862 Apollo,1.47026416,0.559921778,6.3529947,285.8525637,35.736768,0.647,2.29,1.78,16.25,0.025795,263,APO*,1862 Apollo
1981 Midas,1.77602471,0.650140732,39.8325384,267.7919932,356.9033434,0.6214,2.93,2.37,15.2,0.003551,118,APO*,1981 Midas
2101 Adonis,1.87412276,0.764601569,1.3263995,43.3880477,349.6949443,0.4412,3.31,2.57,18.8,0.011645,33,APO*,2101 Adonis
2102 Tantalus,1.29017967,0.299195544,64.002772,61.5506945,94.3658545,0.9042,1.68,1.47,16,0.043644,106,APO*,2102 Tantalus
2135 Aristaeus,1.59962299,0.502890862,23.0619076,290.8781279,191.2177635,0.7952,2.4,2.02,17.94,0.010105,18,APO*,2135 Aristaeus
2201 Oljato,2.17498917,0.713051688,2.5223603,98.2565926,74.9954815,0.6241,3.73,3.21,15.25,0.003093,183,APO*,2201 Oljato
2340 Hathor,0.84382925,0.449884166,5.8545912,39.9262942,211.5421371,0.4642,1.22,0.78,20.2,0.006874,60,ATE*,2340 Hathor
3122 Florence,1.76841226,0.422950084,22.1501738,27.8142475,336.1006851,1.0205,2.52,2.35,14.1,0.0453,356,AMO*,3122 Florence
3200 Phaethon,1.27121567,0.889916185,22.2480527,322.162477,265.2412221,0.1399,2.4,1.43,14.6,0.019627,538,APO*,3200 Phaethon
3361 Orpheus,1.20944199,0.32288265,2.6848549,301.6506257,189.6022467,0.8189,1.6,1.33,19.03,0.013917,92,APO*,3361 Orpheus
3362 Khufu,0.98950586,0.468571561,9.9171846,55.0404734,152.451001,0.5259,1.45,0.98,18.3,0.013664,22,ATE*,3362 Khufu
3671 Dionysus,2.19887684,0.541090853,13.5311478,204.2415301,82.0882917,1.0091,3.39,3.26,16.5,0.022126,80,APO*,3671 Dionysus
3757 Anagolay,1.83470301,0.445494301,3.8678758,17.1578452,74.9709591,1.0174,2.65,2.49,18.95,0.037892,41,AMO*,3757 Anagolay
4015 Wilson-Harrington,2.63099412,0.630563119,2.7884465,95.0341055,267.0648731,0.972,4.29,4.27,15.99,0.043492,168,APO*,4015 Wilson-Harrington
4034 Vishnu,1.05965389,0.443905194,11.1700737,296.5800497,158.0036734,0.5893,1.53,1.09,18.4,0.019276,73,APO*,4034 Vishnu
4179 Toutatis,2.53544608,0.629436823,0.447195,278.7183624,124.3715301,0.9395,4.13,4.04,15.3,0.006121,499,APO*,4179 Toutatis
4183 Cuno,1.982399,0.634373193,6.7048765,236.3254956,294.904797,0.7248,3.24,2.79,14.4,0.028515,348,APO*,4183 Cuno
4450 Pan,1.44225816,0.586590426,5.5197745,291.7752429,311.8487349,0.5962,2.29,1.73,17.1,0.028458,163,APO*,4450 Pan
4486 Mithra,2.19972488,0.662808419,3.0393394,168.866959,82.2435991,0.7417,3.66,3.26,15.6,0.046187,181,APO*,4486 Mithra
4581 Asclepius,1.02240224,0.357024169,4.918984,255.3016674,180.2984004,0.6574,1.39,1.03,20.7,0.003621,60,APO*,4581 Asclepius
4660 Nereus,1.48867815,0.360026344,1.431693,158.0288284,314.4438955,0.9527,2.02,1.82,18.2,0.003207,101,APO*,4660 Nereus
4769 Castalia,1.06333327,0.483131171,8.8852837,121.3626069,325.5829561,0.5496,1.58,1.1,16.9,0.020585,87,APO*,4769 Castalia
4953 (1990 MU),1.62112683,0.657596724,24.3892278,77.7659494,77.7253816,0.5551,2.69,2.06,14.1,0.02621,78,APO*,4953 (1990 MU)
5011 Ptah,1.63571076,0.49984062,7.4075903,105.7488633,10.780353,0.8181,2.45,2.09,16.4,0.025073,139,APO*,5011 Ptah
5189 (1990 UQ),1.55152051,0.477999133,3.5834376,159.6391449,135.3366248,0.8099,2.29,1.93,17.8,0.044395,80,APO*,5189 (1990 UQ)
5604 (1992 FE),0.92883693,0.406145645,4.7384758,82.4340422,312.1147348,0.5516,1.31,0.9,17.2,0.033465,98,ATE*,5604 (1992 FE)
5693 (1993 EA),1.27088627,0.585364352,5.0546409,258.8694356,97.0603006,0.527,2.01,1.43,16.6,0.005598,207,APO*,5693 (1993 EA)
6037 (1988 EG),1.2712441,0.499620192,3.4997471,242.0750011,182.4807299,0.6361,1.91,1.43,18.7,0.02416,68,APO*,6037 (1988 EG)
6239 Minos,1.1514836,0.412763139,3.942876,239.6773848,344.6073598,0.6762,1.63,1.24,18.5,0.026459,171,APO*,6239 Minos
6489 Golevka,2.50723814,0.604021161,2.2780652,65.9393475,211.5969087,0.9928,4.02,3.97,19.2,0.028842,103,APO*,6489 Golevka
6491 (1991 OA),2.50025267,0.590737634,5.9449037,323.5837238,301.9104499,1.0233,3.98,3.95,18.9,0.042606,26,AMO*,6491 (1991 OA)
7335 (1989 JA),1.77060553,0.484123161,15.1948732,232.249391,61.3307871,0.9134,2.63,2.36,17,0.022042,73,APO*,7335 (1989 JA)
7341 (1991 VK),1.84210537,0.506510954,5.4156611,173.3443,294.8470764,0.9091,2.78,2.5,16.7,0.047796,242,APO*,7341 (1991 VK)
7482 (1994 PC1),1.34626767,0.328340772,33.4860996,47.6201303,117.8943902,0.9042,1.79,1.56,16.8,0.000142,95,APO*,7482 (1994 PC1)
7753 (1988 XB),1.46769861,0.481907083,3.1230592,280.0830844,73.429096,0.7604,2.17,1.78,18.6,0.006649,136,APO*,7753 (1988 XB)
7822 (1991 CS),1.12293413,0.164686536,37.121527,249.4088407,156.8669509,0.938,1.31,1.19,17.4,0.023397,189,APO*,7822 (1991 CS)
8014 (1990 MF),1.74643281,0.45613397,1.866298,114.4012629,210.257805,0.9498,2.54,2.31,18.7,0.01706,56,APO*,8014 (1990 MF)
8566 (1996 EN),1.5064064,0.430290627,37.9741204,125.1259448,164.1448821,0.8582,2.15,1.85,16.3,0.020715,78,APO*,8566 (1996 EN)
9856 (1991 EE),2.24232343,0.625858394,9.8265568,116.1561803,168.1649982,0.8389,3.65,3.36,17.4,0.022718,79,APO*,9856 (1991 EE)
10115 (1992 SK),1.24835694,0.324777735,15.3215726,233.6246456,8.9250788,0.8429,1.65,1.39,17,0.046004,143,APO*,10115 (1992 SK)
11500 Tomaiyowit,1.07964733,0.355821149,10.3097613,289.4572154,234.4484376,0.6955,1.46,1.12,18.3,0.034471,99,APO*,11500 Tomaiyowit
12538 (1998 OH),1.54147674,0.406083566,24.5288827,321.7216389,220.748672,0.9155,2.17,1.91,15.8,0.028874,186,APO*,12538 (1998 OH)
12923 Zephyr,1.96157806,0.492018594,5.3043911,147.0730861,168.2131797,0.9964,2.93,2.75,15.8,0.021643,191,APO*,12923 Zephyr
13651 (1997 BR),1.33534595,0.305616905,17.2477179,133.7835386,116.6759934,0.9272,1.74,1.54,17.6,0.0137,84,APO*,13651 (1997 BR)
14827 Hypnos,2.84073077,0.665696971,1.9808791,238.0941985,57.977416,0.9497,4.73,4.79,18.3,0.014767,49,APO*,14827 Hypnos
16960 (1998 QS52),2.20292124,0.857901779,17.5489432,242.9301293,260.4997145,0.313,4.09,3.27,14.3,0.014491,185,APO*,16960 (1998 QS52)
20425 (1998 VD35),1.564533,0.476536882,6.9841402,296.1609485,227.3739501,0.819,2.31,1.96,20.4,0.003303,29,APO*,20425 (1998 VD35)
22753 (1998 WT),1.21883517,0.569794394,3.2043388,324.7139627,307.4422716,0.5243,1.91,1.35,17.7,0.033575,170,APO*,22753 (1998 WT)
23187 (2000 PN9),1.84669413,0.58945197,51.3144209,293.5402131,164.3574235,0.7582,2.94,2.51,16.1,0.014435,274,APO*,23187 (2000 PN9)
25143 Itokawa,1.32416362,0.280117657,1.6214564,162.8034823,69.0799299,0.9532,1.7,1.52,19.2,0.012882,183,APO*,25143 Itokawa
26663 (2000 XK47),1.54576574,0.471828278,13.5388041,231.0943137,303.7002067,0.8164,2.28,1.92,18.1,0.035262,33,APO*,26663 (2000 XK47)
27002 (1998 DV9),1.74365658,0.433438668,8.6970071,0.7580734,130.3906768,0.9879,2.5,2.3,18.2,0.002904,71,APO*,27002 (1998 DV9)
29075 (1950 DA),1.699185,0.507419882,12.1815586,224.5354192,356.7760865,0.837,2.56,2.21,17.1,0.040359,141,APO*,29075 (1950 DA)
31669 (1999 JT6),2.13724207,0.577156064,9.5402241,39.1118536,78.833089,0.9037,3.37,3.12,15.9,0.000186,70,APO*,31669 (1999 JT6)
33342 (1998 WT24),0.71846579,0.417912067,7.3419336,167.295108,81.9990255,0.4182,1.02,0.61,17.9,0.009954,166,ATE*,33342 (1998 WT24)
35107 (1991 VH),1.13737563,0.144299061,13.910956,206.9524396,139.3663708,0.9733,1.3,1.21,16.7,0.025182,336,APO*,35107 (1991 VH)
35396 (1997 XF11),1.44271027,0.483929976,4.0984046,102.9225393,213.758484,0.7445,2.14,1.73,16.9,0.00065,256,APO*,35396 (1997 XF11)
37638 (1993 VB),1.90982164,0.519202159,5.0779678,323.051831,145.6767689,0.9182,2.9,2.64,19.3,0.000672,24,APO*,37638 (1993 VB)
37655 Illapa,1.47777481,0.752385642,18.0017428,303.7205342,139.6909002,0.3659,2.59,1.8,17.9,0.024143,74,APO*,37655 Illapa
38071 (1999 GU3),2.0898763,0.506915217,12.7307218,8.8137769,195.5345613,1.0305,3.15,3.02,19.6,0.032765,49,AMO*,38071 (1999 GU3)
39572 (1993 DQ1),2.03700262,0.49195162,10.0201308,344.7894623,313.5686132,1.0349,3.04,2.91,16.5,0.030098,139,AMO*,39572 (1993 DQ1)
41429 (2000 GE2),1.59262636,0.555208409,2.173121,297.1871783,351.967327,0.7084,2.48,2.01,20.6,0.010816,67,APO*,41429 (2000 GE2)
52760 (1998 ML14),2.40862838,0.623383031,2.4274112,20.324459,338.7251064,0.9071,3.91,3.74,17.5,0.016601,134,APO*,52760 (1998 ML14)
52768 (1998 OR2),2.37939924,0.572804653,5.8797487,174.4314227,27.063138,1.0165,3.74,3.67,15.9,0.014187,136,APO*,52768 (1998 OR2)
53319 (1999 JM8),2.72626385,0.641137843,13.8286546,166.7561581,133.6496415,0.9784,4.47,4.5,15.2,0.02269,124,APO*,53319 (1999 JM8)
53426 (1999 SL5),1.92271828,0.538441676,22.7770876,43.2984062,239.1080146,0.8874,2.96,2.67,17.2,0.02505,142,APO*,53426 (1999 SL5)
53429 (1999 TF5),2.02289692,0.639842124,26.7941471,64.0043308,199.2642982,0.7286,3.32,2.88,18.9,0.047722,19,APO*,53429 (1999 TF5)
53550 (2000 BF19),1.49537981,0.419466031,7.1745157,324.8667493,313.2331998,0.8681,2.12,1.83,19,0.04549,67,APO*,53550 (2000 BF19)
53789 (2000 ED104),1.37053477,0.269129958,40.7908522,218.3102124,190.0439002,1.0017,1.74,1.6,17.4,0.049114,131,APO*,53789 (2000 ED104)
65679 (1989 UQ),0.91511125,0.26473543,1.2997056,14.9062365,178.2355728,0.6728,1.16,0.88,19.4,0.014115,77,ATE*,65679 (1989 UQ)
65690 (1991 DG),1.42725039,0.36297628,11.1502293,63.2980815,180.1672479,0.9092,1.95,1.71,19.1,0.038799,63,APO*,65690 (1991 DG)
